Слово,Слово с делением на морфемы,Орфоэпическая транскрипция,Реальное произнесение,Количество словоупотреблений,Файлы
следит,*след/ит,* s l' i1 d' / i0 t,* s l' i1 d' / i0 t,3,"ctb2064,ktb2064,atb2064"
следов,*след/ов,* s l' i1 d / o0 f,* s l' i1 d / o0 f,3,"cta0749,kta0749,ata0749"
следовали,*след+ова+л/и,* s l' e0 d + a4 v a4 + l' / i4,* s l' e0 d + v + l' / e4,7,gta0216
следовало,*след+ова+л/о,* s l' e0 d + a4 v a4 + l / a4,* s l' e0 d + y4 v u4 + l / o4,4,ata0507
следовать,*след+ова/ть,* s l' e0 d + a4 v a4 / t',* s l' e0 d + y4 v y4 / t',3,"ctb0925,ktb0925,atb0925"
следует,*след+у/ет,* s l' e0 d + u4 / j i4 t,* s l' e0 d + e4 / t,21,ata0175
следующий,*след+у+ющ/ий,* s l' e0 d + u4 + j u4 sc / i4 j,* s l' e0 d + u4 + i4 sc / i4 i4,18,"gtb0466,atd0111"
следующую,*след+у+ющ/ую,* s l' e0 d + u4 + j u4 sc / u4 j u4,* s l' e0 d + u4 + i4 sc / u4 u4,17,kta0897
слез,*слез,* s l' o0 s,* s l' o0 s,1,cta1143
слезы,*слез/ы,* s l' o0 z / y4,* s l' o0 z /,7,utc0352
слетела,~с*лет+е+л/а,~ s * l' i1 t' + e0 + l / a4,~ s * l' i1 t' + e0 + l / e4,3,"cta0937,ata0937"
слетело,~с*лет+е+л/о,~ s * l' i1 t' + e0 + l / a4,~ s * l' i1 t' + e0 + l / a4,11,"ktb1273,ktb0684,stb0684"
слишком,~с*лиш+к/ом,~ s * l' i0 sh + k / a4 m,~ s * l' i0 sh + k / a4 m,48,"ctb0289,ctb1196,gtb0167,gtb0271,ktb1049,ktb1196,ktb1230,ktb0167,ktb0289,otb0167,stb0167,stb0271,stb0289,atb0891,atb1196,mtb0167,mtb0271"
слов,*слов,* s l o0 f,* s l o0 f,19,"cta0110,ctb0020,ctb1989,gta0110,gtb0020,ktb1989,kta0110,ktb0020,ota0110,otb0020,sta0110,stb0020,uta0110,utb0020,ata0110,atb0020,atb1989,mta0110,mtb0020"
слова,*слов/а,* s l o0 v / a4,* s l a1 v / a0,62,atb1903
словами,*слов/ами,* s l a1 v / a0 m' i4,* s l a1 v / a0 m' i4,8,"ctb0458,gtb0458,ktb0458,otb0458,stb0458,utb0458,atb0458,mtb0458"
словно,*слов+н+о,* s l o0 v + n + a4,* s l o0 m + n + y4,86,ctb0636
слово,*слов/о,* s l o0 v / a4,* s l o0 v / a4,41,"ctb0472,ctb1861,ctb2104,ctc1201,ctc1271,gtb0472,ktb2104,ktb0472,ktc1201,ktc1271,otb0471,otb0472,stb0471,stb0472,utc1201,atb0471,atb0472,atb1861,atb1861,atb2104,mtb0471,mtb0472"
словом,*слов/ом,* s l o0 v / a4 m,* s l o0 / u4 m,28,mtb0163
слоги,~с*лог/и,~ s * l o0 g' / i4,~ s * l o0 g' / e4,6,ctb0943
сложены,~с*лож+ен/ы,~ s * l o0 zh + y4 n / y4,~ l * o0 zh + n y4 / i4,6,ctb1943
сломал,~с*лом+а+л,~ s * l a1 m + a0 + l,~ s * l a1 m + a0 + l,8,"cta0147,gta0147,kta0147,ota0147,sta0147,uta0147,ata0147,mta0147"
слоновая,*слон+ов/ая,* s l a1 n + o0 v / a4 j a4,* s l a1 n + o0 v / a4 a4,3,kta0745
слоями,*сло/ями,* s l a1 j / a0 m' i4,* s l a1 j / a0 m' e4,3,kta0733
служебный,*служеб+н/ый,* s l u1 zh e0 b + n / y4 j,* s l u1 zh e0 b + n / y4,3,atb0853
служивший,*служ+и+вш/ий,* s l u1 zh + y0 + f sh / y4 j,* s l u1 zh + y0 + f sh / y4,3,"cta0744,kta0744"
служившую,*служ+и+вш/ую,* s l u1 zh + y0 + f sh / u4 j u4,* s l u1 zh + y0 + f sh / e4,8,gta0072
служит,*служ/ит,* s l u0 zh / y4 t,* s l u0 zh / y4 t,8,"ctb0338,gtb0338,ktb0338,otb0338,stb0338,utb0338,atb0338,mtb0338"
слух,*слух,* s l u0 h,* s l u0 h,11,"ctb0128,ctc0302,gtb0128,ktb0128,ktc0302,otb0128,stb0128,utb0128,utc0302,atb0128,mtb0128"
слуха,*слух/а,* s l u0 h / a4,* s l u0 h / a4,9,"cta0045,gta0045,kta0045,kta0045,ota0045,sta0045,uta0045,ata0045,mta0045"
слухом,*слух/ом,* s l u0 h / a4 m,* s l u0 h / a4 m,8,"cta0103,gta0103,kta0103,sta0103,ata0103,mta0103"
случае,*случ+а/е,* s l u0 ch + i4 - / i4,* s l u0 ch + i4 /,50,mtb0342
случаи,*случа/и,* s l u0 ch i4 / i4,* s l u0 ch i4 /,13,mtb0120
случай,*случ+ай,* s l u0 ch + i4 j,* s l u0 ch + i4,9,"cta0549,kta0549,ktb1534,ata0549,atb1734"
случайно,*случ+ай+н+о,* s l u1 ch + a0 j + n + a4,* s l u1 ch + a0 e4 + n + a4,27,"gte0237,ktb0826,ktb1924,ktb1967,kta0332,ktc0844"
случайные,*случ+ай+н/ые,* s l u1 ch + a0 j + n / y4 j i4,* s l u1 ch + a0 i4 + n / y4 i4,3,ata0810
случалось,*случ+а+л/о^сь,* s l u1 ch + a0 + l + a4 / s',* s l u1 ch + a0 + l + a4 / s',3,"ctb1622,atb1622"
случаях,*случ+а/ях,* s l u0 ch + i4 j / i4 h,* s l u0 ch + e4 / a4 h,11,ste0212
случилась,*случ+и+л/а^сь,* s l u1 ch + i0 + l / a4 ^ s',* s l u1 ch + i0 + l / y4 ^ s',3,kta0753
случилось,*случ+и+л/о^сь,* s l u1 ch + i0 + l / a4 ^ s',* s l u1 ch + i0 + l / a4 ^ s',60,"ctb1173,ktb0066,stb0057,ata0616,atb1173,atb2126,mtb0699"
случиться,*случ+и/ть^ся,* s l u1 ch + i0 ^ c a4,* s l u1 ch + i0 ^ c y4,3,"ctb1647,ktb1647,atb1647"
слушаешь,*слуш+а/ешь,* s l u0 sh + a4 / j i4 sh,* s l u0 sh + a4 / i4 sh,6,atb1449
слушай,*слуш+а+й,* s l u0 sh + a4 + j,* s l u0 sh + a4 + j,20,"utc0536,utc0541"
слушал,*слуш+а+л,* s l u0 sh + a4 + l,* s l u0 sh + a4 + l,6,"ktb1343,atb1343"
слушала,*слуш+а+л/а,* s l u0 sh + a4 + l / a4,* s l u0 sh + + l / a4,10,stb0799
слушали,*слуш+а+л/и,* s l u0 sh + a4 + l' / i4,* s l u0 sh + + l' /,6,stb0799
слушать,*слуш+а/ть,* s l u0 sh + a4 / t',* s l u0 sh + / t',43,stb0782
слышал,*слыш+а+л,* s l y0 sh + a4 + l,* s l y0 sh + + l,93,"mtb0384,mtb0710"
слышала,*слыш+а+л/а,* s l y0 sh + a4 + l / a4,* s l y0 sh + + l / a4,35,"gtb0343,stb0794,stb0795,mtb0794"
слышали,*слыш+а+л/и,* s l y0 sh + a4 + l' / i4,* s l y0 sh + y4 + l' / i4,3,"ctb1989,ktb1989,atb1989"
слышанные,*слыш+а+нн/ые,* s l y0 sh + a4 + n / y4 j i4,* s l y0 sh + y4 + n / y4 i4,3,"cta0897,kta0897,ata0897"
слышат,*слыш/ат,* s l y0 sh / a4 t,* s l y0 sh / a4 t,8,"gtb0336,ktb0336,mtb0336"
слышать,*слыш+а/ть,* s l y0 sh + a4 / t',* s l y0 sh + / t',7,stb0768
слышит,*слыш/ит,* s l y0 sh / y4 t,* s l y0 sh / t,22,"stb0118,utb0056,utb0118,mtb0056,mtb0118"
слышишь,*слыш/ишь,* s l y0 sh / y4 sh,* s l y0 sh / sh,19,stb0771
слышно,*слыш+н/о,* s l y0 sh + n / a4,* s l y0 sh + n /,42,mtb0055
слышу,*слыш/у,* s l y0 sh / u4,* s l y0 sh / u4,8,"ctb0122,gtb0122,ktb0122,otb0122,stb0122,utb0122,atb0122,mtb0122"
смазал,~с*маз+а+л,~ s * m a0 z + a4 + l,~ s * m a0 s + y4 + l,16,otb0389
смастерил,~с*мастер+и+л,~ s * m a2 s' t' i1 r' + i0 + l,~ s * m a2 s' t' i1 r' + i0 + l,8,sta0094
смеётся,*сме/ет^ся,* s m' i1 / j o0 ^ c a4,* s m' i1 / j o0 ^ c,23,"utc0815,utc1049"
смела,*смел/а,* s m' e0 l / a4,* s m' e0 l / a4,8,"cta0112,kta0112,ata0112,mta0112"
смелое,*смел/ое,* s m' e0 l / a4 j i4,* s m' e0 l / a4 e4,3,ctb0889
смелый,*смел/ый,* s m' e0 l / y4 j,* s m' e0 l / y4,16,"ctb0467,ctb0470,otb0470,stb0467,stb0470,utb0470,mtb0467,mtb0470"
смена,~с*мен/а,~ s * m' e0 n / a4,~ s * m' e0 n / a4,3,"cta0552,kta0552,ata0552"
сменить,~с*мен+и/ть,~ s * m' i1 n' + i0 / t',~ s * m' i1 n' + i0 / t',10,"gta0198,kta0198,ota0198,sta0198,uta0198,mta0198"
смеркла,~с*мерк+л/а,~ s * m' e0 r k + l / a4,~ s * m' e0 r k + l / a4,8,"cta0214,gta0214,kta0214,ota0214,sta0214,uta0214,ata0214,mta0214"
смеркло,~с*мерк+л/о,~ s * m' e0 r k + l + a4,~ s * m' e0 r k + l + a4,8,"cta0468,gta0468,kta0468,ota0468,sta0468,uta0468,ata0468,mta0468"
смертельно,~с*мер+тель+н+о,~ s * m' i1 r + t' e0 l' + n + a4,~ s * m' e1 r + t' e0 l' + n + a4,8,"ktb0100,atb0100"
смерти,~с*мерт/и,~ s * m' e0 r t' / i4,~ s * m' e0 r t' /,20,ata0723
смертных,~с*мерт+н/ых,~ s * m' e0 r t + n / y4 h,~ s * m' e0 r t + n / e4 h,3,cta0935
смерть,~с*мер+ть,~ s * m' e0 r + t',~ s * m' e0 r + t',6,"cta0753,kta0753,otd0340,otd0340,ata0753"
смешливый,*смеш+лив/ый,* s m' i1 sh + l' i0 v / y4 j,* s m' i1 sh + l' i0 v / y4 i4,3,atb0855
смешного,*сме+ш+н/ого,* s m' i1 + sh + n / o0 v a4,* s m' i1 + sh + n / o0 v a4,3,"cta0774,kta0774,ata0774"
смешное,*сме+ш+н/ое,* s m' i1 + sh + n / o0 j i4,* s m' i1 + sh + n / o0 e4,3,"kta0930,ata0930"
смешной,*сме+ш+н/ой,* s m' i1 + sh + n / o0 j,* s m' e1 + sh + n / o0 j,6,"cta1057,ctc1050"
смешные,*сме+ш+н/ые,* s m' i1 + sh + n / y0 j i4,* s m' i1 + sh + n / y0 i4,3,"cta0759,kta0759,ata0759"
смешок,*сме+ш+ок,* s m' i1 + sh + o0 k,* s m' i1 + sh + o0 k,3,"cta0755,kta0755,ata0755"
смеясь,*сме+я^сь,* s m' i1 + j a0 ^ s',* s m' e1 + j a0 ^ s',11,sta0159
смирилась,~с*мир+и+л/а^сь,~ s * m' i1 r' + i0 + l / a4 ^ s',~ s * m' i1 r' + i0 + l / a4 ^ s',19,"kta0800,ata0800,mta0398"
смирились,~с*мир+и+л/и^сь,~ s * m' i1 r' + i0 + l' / i4 ^ s',~ s * m' i1 r' + i0 + l' / i4 ^ s,3,kta0848
смог,~с*мог,~ s * m o0 k,~ s * m o0 k,11,"ctb1084,ctb1601,ctb1609,ktb1084,ktb1601,ktb1609,atb1084,atb1601,atb1609"
сможет,~с*мож/ет,~ s * m o0 zh / y4 t,~ s * m o0 zh / y4 t,5,"ctb1170,ktb1170,ste0373,atb1170"
сможешь,~с*мож/ешь,~ s * m o0 zh / y4 sh,~ s * m o0 zh / sh,11,stb0727
сморкалась,*сморк+а+л/а^сь,* s m a1 r k + a0 + l / a4 ^ s',* s m a1 r k + a0 + l / a4 ^ s',1,cta1144
смотрел,*смотр+е+л,*s m a1 t r' + e0 + l,* s m a1 t + e0 + l,35,ota0180
смотрела,*смотр+е+л/а,* s m a1 t r' + e0 + l / a4,* s m a1 t r' + e0 + l / a4,16,"cta0366,gta0366,kta0100,ota0100,ota0366,ata0100,mta0100,mta0366"
смотрели,*смотр+е+л/и,* s m a1 t r' + e0 + l' / i4,* s m a1 t r' + e0 + l' / e4,19,"ctb0784,gtb0784,ktb0784,stb0784,atb1202"
смотреть,*смотр+е/ть,* s m a1 t r' + e0 / t',* s m a1 d r' + e0 / c,57,stb0634
смотрит,*смотр/ит,* s m o0 t r' / i4 t,* s m o0 t r' / i4 t,1,cta1132
смутно,~с*мут+н+о,~ s * m u0 t + n + a4,~ s * m u0 t + n + a4,9,"cta0834,kta0834,ktc1550,ktc1554,utc1554"
смысла,~с*мысл/а,~ s * m y0 s l / a4,~ s * m y0 s l / a4,7,"cta0987,gte0100,gte0275,ste0100,ste0275,ata0987"
смысле,~с*мысл/е,~ s * m y0 s l' / i4,~ * m y0 s l' / i1,24,mtb0253
смыслил,~с*мысл+и+л,~ s * m y0 s l' + i4 + l,~ s * m y0 s l' + i4 + l,3,"cta1066,kta1066,ata1066"
смягчилась,~с*мяг+ч+и+л/а^сь,~ s * m' i1 h + ch + i0 + l / a4 ^ s',~ s * m' e1 h + ch + i0 + l / y4 ^ s',8,utb0544
сначала,~с*начал+а,~ s * n a1 ch a0 l + a4,~ s * n a1 ch a0 l +,29,mtb0398
снег,*снег,* s n' e0 k,* s n' e0 k,8,"gta0034,kta0034,ota0034,sta0034,uta0034,mta0034"
снегом,*снег/ом,* s n' e0 g / a4 m,* s n' e0 g / a4 m,8,"cta0216,kta0216,sta0216,ata0216"
сник,~с*ник,~ s * n' i0 k,~ s * n' i0 k,8,"cta0026,gta0026,kta0026,ota0026,sta0026"
снимали,~сн*им+а+л/и,~ s n' * i1 m + a0 + l' / i4,~ s n' * i1 m + a0 + l' / i4,3,ata0927
сниткин,*снитк+ин,* s' n' i0 t k' + i4 n,* s' n' i0 t k' + i4 n,24,"cta0278,cta0278,uta0290,mta0290"
сниткина,*снитк+ин/а,* s' n' i0 t k' + i4 n / a4,* s' n' i0 t k' + e4 n / a4,8,cta0277
сниткину,*снитк+ин/у,* s' n' i0 t k' + i4 n / u4,* s' n' i0 t k' + e4 n / u4,8,gta0282
сниткиных,*снитк+ин/ых,* s' n' i0 t k' + i4 n / y4 h,* s' n' i0 t k' + i4 n / y4 h,8,"cta0291,ota0291"
снова,~с*нов+а,~ s * n o0 v + a4,~ s * n o0 + o4,115,utb0736
сном,*сн/ом,* s n / o0 m,* n / o0 m,16,mtb0519
снял,~с*н+я+л,~ s * n' + a0 + l,~ s * n' + a0 + l,9,"cta0677,ctb1321,kta0677,ktb1321,ktb1651,ata0677,atb1321"
сняли,~с*н+я+л/и,~ s' * n' + a0 + l' / i4,~ s' * n' + a0 + l' / e4,8,cta0318
снятия,~с*н+я+ти/я,~ s * n' + a0 + t' i4 j / a4,~ s * n' + a0 + t' i4 / a4,3,kta0876
снять,~с*н+я/ть,~ s * n' + a0 / t',~ s * n' + a0 / t',16,"ctb0699,gtb0243,otb0243,otb0699,stb0243,stb0699,utb0699"
собаку,*собак/у,* s a1 b a0 k / u4,* s a1 b a0 k / u4,3,"ctb0923,ktb0923,atb0923"
собачками,*собач+к/ами,* s a1 b a0 ch + k / a4 m' i4,* s a1 b a0 ch + k / u4 m' i4,2,ata1074
собачья,*собач+ь/я,* s a1 b a0 ch + j / i4,* s a1 b a0 ch + / i4,8,ota0495
соберутся,~со*бер/ут^ся,~ s a2 * b' i1 r / u0 ^ c a4,~ s y1 * b' i1 r / u0 ^ c a4,1,cta1154
собиралась,~со*бир+а+л/а^сь,~ s a2 * b' i1 r + a0 + l / a4 ^ s',~ s * b' e1 r + a0 + l / a4 ^ s',8,ktb0522
собирались,~со*бир+а+л/и^сь,~ s a2 * b' i1 r + a0 + l' / i4 ^ s',~ s y1 * b' i1 r + a0 + l' / i4 ^ s',3,"ctb1258,ktb1258,atb1258"
собирался,~со*бир+а+л^ся,~ s a2 * b' i1 r + a0 + l ^ s' a4,~ s * b' e1 r + a0 + l ^ s',13,gta0154
собираюсь,~со*бир+а/ю^сь,~ s a2 * b' i1 r + a0 / j u4 ^ s',~ s * b' i1 r + a0 / e4 ^ s',19,stb0025
собой,*соб/ой,* s a1 b / o0 j,* s a b / o0 j,53,cta0389
собора,~со*бор/а,~ s a1 * b o0 r / a4,~ s a1 * b o0 r / a4,3,"cta0695,ata0695"
собрали,~со*бр+а+л/и,~ s a1 * b r + a0 + l' / i4,~ s a1 * b r + a0 + l' / i4,3,"cta0856,kta0856,ata0856"
собрались,~со*бр+а+л/и^сь,~ s a2 * b r + a1 + l' / i0 ^ s',~ s a2 * b r + a1 + l' / i0 ^ s',8,ata1072
собрание,~со*бр+а+ни/е,~ s a1 * b r + a0 + n' i4 j / i4,~ s a1 * b r + a0 + n' e4 / e4,9,"ctb1794,ktb2018,ktb2022,atb2018"
собраний,~со*бр+а+ний,~ s a1 * b r + a0 + n' i4 j,~ s a1 * b r + a0 + n' i4 i4,3,"ktb2019,atb2019"
собрания,~со*бр+а+ни/я,~ s a1 * b r + a0 + n' i4 j / a4,~ s a1 * b r + a0 + n' e4 / e4,7,gte0160
собственная,*соб+ств+енн/ая,* s o0 p + s t v' + i4 n - / a4 j a4,* s o0 p + s t v' + i4 n / e4 e4,8,"ota0295,sta0295,ata0295"
собственно,*соб+ств+енн+о,* s o0 p + s t v' + i4 n + a4,* s o0 p + s t v' + i4 n + a4,3,"cta0510,kta0510,ata0510"
собственного,*собств+енн/ого,* s o0 p s t v' + i4 n / a4 v a4,* s o0 b s + y4 n / o4 o4,12,utc1361
собственной,*соб+ств+енн/ой,* s o0 p + s t v' + i4 n - / a4 j,* s o0 p + s t + e4 n / y4 j,11,uta0027
собственный,*соб+ств+енн/ый,* s o0 p + s t v' + i4 n / y4 j,* s o0 p + s c v' + i4 n / y4,12,otb0459
собственных,*собств+енн/ых,* s o0 p s t v' + i4 n / y4 h,* s o0 p s t v + y4 n / y4 h,3,ktb1547
события,~со*быт+и/я,~ s a1 * b y0 t' + i4 j / a4,~ s a1 * b y0 t' + e4 / e4,7,"ste0233,atb1566"
совершеннейшей,~со*верш+енн+ейш/ей,~ s a2 * v' i1 r sh + e0 n' + i4 j sh / y4 j,~ s a2 * v' i1 r sh + e0 n' + i4 j sh / y4 j,3,ata0988
совершенно,~со*верш+енн+о,~ s a2 * v' i1 r sh + e0 n n + a4,~ s * v' i1 r sh + e0 n n + y4,51,mta0126
совершенны,~со*верш+енн/ы,~ s a2 * v' i1 r sh + e0 n n / y4,~ s y1 * v' e1 r sh + e0 n n / y4,11,"cta0121,gta0121,kta0121"
совести,*совест/и,* s o0 v' i4 s' t' / i4,* s o0 v' i4 s' t' / e4,3,cta1038
советов,*совет/ов,* s a1 v' e0 t / a4 f,* s a1 v' e0 t / a4 f,3,atb0844
советовал,*совет+ова+л,* s a1 v' e0 t + a4 v a4 + l,* s a1 v' e0 t + f y4 + l,13,ota0216
советовали,*совет+ова+л/и,* s a1 v' e0 t + a4 v a4 + l' / i4,* s a1 v' e0 t + y4 v o4 + l' / i4,3,atb1688
советом,*совет/ом,* s a1 v' e0 t / a4 m,* s a1 v' e0 t / a4 m,6,"cta0507,cta0814,kta0507"
советует,*совет+у/ет,* s a1 v' e0 t + u4 / - i4 t,* s a1 v' e0 t + u4 / t,8,kta0259
совместном,~со~в*мест+н/ом,~ s a1 ~ v * m' e0 s + n / a4 m,~ s a1 ~ v * m' e0 s + n / a4 m,3,kta0905
совпадает,~со~в*пад+а/ет,~ s a2 ~ f * p a1 d + a0 / j i4 t,~ s a2 ~ f * p a1 d + a0 / i4 c,3,ctb1107
соврал,~со*вра+л,~ s a1 * v r a0 + l,~ s a1 * v r a0 + l,8,"ctb0226,gtb0226,ktb0226,otb0226,stb0226,utb0226,atb0226"
соврать,~со*вра/ть,~ s a1 * v r a0 / t',~ s a1 * v r a0 / t',3,"ctb1130,ktb1130,atb1130"
современной,~со*врем+ен+н/ой,~ s a2 * v r' i1 m' + e0 n + n / a4 j,~ s e1 * v r' i1 m' + e0 + n / y4,3,ata1066
совсем,*совсем,* s a1 f s' e0 m,* s a1 f s' e0 m,122,"cta0188,cta1026,cta1152,ctb0137,ctb0146,ctb0457,ctb0611,ctb0620,ctb0808,ctb0839,ctb0859,ctb0881,ctb1129,ctb1163,ctb1433,ctb1816,ctb1821,ctb1926,ctb1950,ctb1992,ctb2042,ctb2043,ctb2060,ctb2140,ctb2152,ctb2157,ctc0937,ctc1037,ctc1051,gta0188,gtb0137,gtb0146,gtb0457,gtb0611,gtb0620,kta1026,ktb0808,ktb0839,ktb0859,ktb0881,ktb1129,ktb1433,ktb1816,ktb1821,ktb1926,ktb1950,ktb1992,ktb2042,ktb2043,ktb2060,ktb2140,ktb2152,ktb2157,kta0188,ktb0146,ktb0457,ktb0611,ktb0620,ktc0937,ktc1037,ktc1051,ota0188,otb0137,otb0146,otb0457,otb0611,otb0620,otd0059,otd0113,stb0137,stb0146,stb0457,stb0611,ste0084,uta0188,utb0137,utb0146,utb0457,utb0611,utb0620,utc0937,utc1037,utc1051,ata0188,atb0137,atb0146,atb0457,atb0611,atb0620,atd0059,atb0808,atb0839,atb0859,atb0881,atb1129,atb1433,atb1816,atb1821,atb1926,atb1950,atb1992,atb2042,atb2043,atb2060,atb2140,atb2152,atb2157,mta0188,mtb0137,mtb0457,mtb0611"
согласен,~со*глас+ен,~ s a1 * g l a0 s' + i4 n,~ s a1 * g l a0 s' + e4 n,14,"ctb1974,ctc0775"
согласии,~со*глас/ии,~ s a1 * g l a0 s' / i4 i4,~ s a1 * g l a0 s' / i4,8,"cta0284,mta0284"
согласилась,~со*глас+и+л/а^сь,~ s a2 * g l a1 s' + i0 + l / a4 ^ s',~ s * g l a1 s' + i0 + l / y4 ^ s',16,gta0484
согласился,~со*глас+и+л^ся,~ s a2 * g l a1 s' + i0 + l ^ s' i4,~ s * g l a1 s' + i0 + l ^ s' a4,17,gtb0638
согласиться,~со*глас+и/ть^ся,~ s a2 * g l a1 s' + i0 ^ c a4,~ s e1 * k l e1 s' + i0 ^ c y4,3,cta1105
согласна,~со*глас+н/а,~ s a1 * g l a0 s + n / a4,~ s a1 * g l a0 s + n / a4,3,ata1108
соглашался,~со*глаш+а+л^ся,~ s a2 * g l a1 sh + a0 + l ^ s' a4,~ s y1 * g l a1 s' + i0 + l ^ s' i4,6,ctb1708
соглашаюсь,~со*глаш+а/ю^сь,~ s a2 * g l a1 sh + a0 / j u4 ^ s',~ s a2 * g l a1 sh + a0 / j e4 ^ s',8,ctb0046
согнал,~со*гн+а+л,~ s a1 * g n + a0 + l,~ s a1 * g n + a0 + l,3,"cta0505,kta0505,ata0505"
содействовала,~со*дей+ств+ова+л/а,~ s a1 * d' e0 j + s t v + a4 v a4 + l / a4,~ s * a1 d' e0 + i4 s t + v o4 l + a4 /,7,kta0169
содержание,~со*держ+а+ни/е,~ s a2 * d' i1 r zh + a0 + n' i4 - / i4,~ s e1 * d' i1 r zh + a0 + n' e4 / e4,15,mtb0461
содрогалась,~со*дрог+а+л/а^сь,~ s a2 * d r a1 g + a0 + l / a4 ^ s',~ s * d r a1 g + a0 + l / e4 ^ s',8,gta0193
соединиться,~со*един+и/ть^ся,~ s a2 * i1 d' i1 n' + i0 / c ^ c a4,~ s y1 * i1 d' i1 n' + i0 / c ^ a4,5,cta0006
сожалению,*сожал+ени/ю,* s a2 zh a1 l' + e0 n' i4 j / u4,* s a2 zh y1 l' + e0 n' i4 / u4,16,ste0338
создаётся,~со*зда/ет^ся,~ s a2 * z d a1 / j o0 ^ c a4,~ s a2 * z d a1 / j o0 ^ c a4,3,ktb0962
создание,~со*зд+а+ни/е,~ s a1 * z d + a0 + n' i4 j / i4,~ s a1 * z d + a0 + n' e4 / e4,5,gte0179
сознался,~со*зна+л^ся,~ s a1 * z n a0 + l ^ s' a4,~ s a1 * z n a0 + l ^ s a4,6,ktb1191
сознание,~со*зна+ни/е,~ s a1 * z n a0 + n' i4 - / i4,~ s e1 * z n a0 + n' e4 / i4,13,mtb0745
сознания,~со*зн+а+ни/я,~ s a1 * z n + a0 + n' i4 j / a4,~ s a1 * z n + a0 + n' e4 / a4,8,mta0254
сократить,~со*крат+и/ть,~ s a2 * k r a1 t' + i0 / t',~ s * k r a1 t' + i0 / t',7,ktb2039
сокровища,~со*кров+ищ/а,~ s a1 * k r o0 v' + i4 sc / a4,~ s a1 * k r o0 + u4 sc / i4,8,gtb0312
солидарности,*солидар+н+ост/и,* s a2 l' i1 d a0 r + n + a4 s' t' / i4,* s e1 l' e1 d a0 r + n + e4 s' t' / e4,8,gta0493
солидные,*солидн/ые,* s a1 l' i0 d n / y4 j i4,* s a1 l' i0 d n / y4 i4,2,"cta1079,kta1079"
солнца,*солн+ц/а,* s o0 n + c / a4,* s o0 n + c / a4,8,"ata0214,mta0214"
солнце,*солн+ц/е,* s o0 n + c / y4,* s o0 n + c / e4,3,"cta0747,kta0747"
солнцем,*солн+ц/ем,* s o0 n + c / y4 m,* s o0 n + c / e4 m,8,sta0213
солнцепек,*солн+ц=е*пек,* s a2 n + c = y1 * p' o0 k,* s o1 n + c = y1 * p' o0 k,3,ata0779
сомкнулись,~со*мк+ну+л/и^сь,~ s a1 * m k + n u0 + l' / i4 ^ s',~ s a1 * m k + n u0 + l' / i4 ^ s',3,"cta0853,kta0853,ata0853"
сомнений,~со*мн+ений,~ s a1 * m n' + e0 n' i4 j,~ s a1 * m n' + e0 n' i4,3,atb0891
сомнения,*сомн+ени/я,* s a1 m n' + e0 n' i4 j / a4,* s a1 m n' + e0 n' a4 /,10,gta0344
сон,*сон,* s o0 n,* s o0 n,11,"cta0140,ctb1711,gta0140,ktb1711,kta0140,ota0140,sta0140,uta0140,ata0140,atb1711,mta0140"
сонно,*сон+н+о,* s o0 n + n + a4,* s o0 n + n + a4,8,"kta0164,mta0164"
соображает,~со~об*раж+а/ет,~ s a2 ~ a2 b * r a1 zh + a0 / j i4 t,~ s a2 ~ a2 b * r a1 zh + a0 / e4 e4 t,11,gtb0040
соображал,~со~об*раж+а+л,~ s a2 ~ a2 b * r a1 zh + a0 + l,~ s a2 ~ a2 b * r a1 zh + a0 + l,9,"cta0528,cta1012,ctb1080,kta0528,kta1012,ktb1080,ata0528,ata1012,atb1080"
соображала,~со~об*раж+а+л/а,~ s a2 ~ a2 b * r a1 zh + a0 l / a4,~ s a2 ~ a2 b * r a1 zh + a0 l / a4,8,"cta0040,gta0040,kta0040,sta0040,uta0040,ata0040,mta0040"
сообразил,~со~об*раз+и+л,~ s a2 ~ a2 b * r a1 z' / i0 / l,~ s a2 ~ a1 b * r a1 z' / i0 / l,11,sta0340
сообразили,~со*образ+и+л/и,~ s a2 * a2 b r a1 z' + i0 + l' / i4,~ s a2 * a2 b r a1 z' + i0 + l' / e4,3,ctb0956
сообразительная,~со*образ+и+тель+н/ая,~ s a2 * a2 b r a1 z' + i0 + t' i4 l' + n / a4 j a4,~ s a2 * a1 b r a1 z' + i0 + t' i4 l' + n / e4 a4,3,ktb1111
сообразительный,~со*образ+и+тель+н/ый,~ s a2 * a2 b r a1 z' + i0 + t' i4 l' + n / y4 j,~ s a1 * a2 b r a1 z' + i0 + t' i4 l' + n / y4 j,3,ktb0953
сообщала,~со*общ+а+л/а,~ s a2 * a1 p sc + a0 + l / a4,~ s a2 * a1 p sc + a0 + l / a4,3,"ctb1415,ktb1415,atb1415"
сообщать,~со*общ+а/ть,~ s a2 * a1 p sc + a0 / t',~ s a1 * a1 p sc + a0 / t',8,ktb1718
сообщения,~со*общ+ени/я,~ s a2 * a1 p sc + e0 n' i4 j / a4,~ s a2 * a1 p sc + e0 n' e4 / e4,8,"atb0110,mtb0110"
сообщил,~со*общ+и+л,~ s a2 * a1 p sc + i0 + l,~ s a2 * a1 p sc + i0 + l,3,"ctb2074,ktb2074,atb2074"
